pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under
SD1,03,05,01,03,30,05,33,0
SD1,03,05,01,04,36,01,40.8,1
SD1,03,05,01,04,36,02,43.2,1
SD1,03,05,01,04,36,03,42.8,1
SD1,03,05,01,04,36,04,41.4,1
SD1,03,05,01,04,36,05,41.3,1
SD1,03,05,01,05,42,01,47,1
SD1,03,05,01,05,42,02,47.1,1
SD1,03,05,01,05,42,03,46.2,1
SD1,03,05,01,05,42,04,46,1
SD1,03,05,01,05,42,05,47.3,1
SD1,03,05,01,06,48,01,54.9,1
SD1,03,05,01,06,48,02,53.7,1
SD1,03,05,01,06,48,03,53.3,1
SD1,03,05,01,06,48,04,53.7,1
SD1,03,05,01,06,48,05,53.3,1
SD1,03,05,01,07,54,01,58.5,1
SD1,03,05,01,07,54,02,56.5,1
SD1,03,05,01,07,54,03,57.4,1
SD1,03,05,01,07,54,04,58.2,1
SD1,03,05,01,07,54,05,57.7,1
SC,03,08,00,01,18,01,-1,-1
SC,03,08,00,01,18,02,-1,-1
SC,03,08,00,01,18,03,-1,-1
SC,03,08,00,01,18,04,-1,-1
SC,03,08,00,01,18,05,-1,-1
SC,03,08,00,02,24,01,26.1,0
SC,03,08,00,02,24,02,26.2,0
SC,03,08,00,02,24,03,26.3,0
SC,03,08,00,02,24,04,27.4,0
SC,03,08,00,02,24,05,26.6,0
SC,03,08,00,03,30,01,35.5,0
SC,03,08,00,03,30,02,33.6,0
SC,03,08,00,03,30,03,33.8,0
SC,03,08,00,03,30,04,34.3,0
SC,03,08,00,03,30,05,34.2,0
SC,03,08,00,04,36,01,42.1,0
SC,03,08,00,04,36,02,42.1,0
SC,03,08,00,04,36,03,42.6,0
SC,03,08,00,04,36,04,42.3,0
SC,03,08,00,04,36,05,41.9,0
SC,03,08,00,05,42,01,50.9,0
SC,03,08,00,05,42,02,50,0
SC,03,08,00,05,42,03,49.8,0
SC,03,08,00,05,42,04,49.5,0
SC,03,08,00,05,42,05,49.4,0
SC,03,08,00,06,48,01,55.1,1
SC,03,08,00,06,48,02,54.3,1
SC,03,08,00,06,48,03,56.8,1
SC,03,08,00,06,48,04,57.5,1
SC,03,08,00,06,48,05,58,1
SC,03,08,00,07,54,01,67.4,1
SC,03,08,00,07,54,02,66.8,1
SC,03,08,00,07,54,03,64.8,1
SC,03,08,00,07,54,04,66.4,1
SC,03,08,00,07,54,05,63.8,1
SC,03,08,01,01,18,01,-1,-1
SC,03,08,01,01,18,02,-1,-1
SC,03,08,01,01,18,03,-1,-1
SC,03,08,01,01,18,04,-1,-1
SC,03,08,01,01,18,05,-1,-1
SC,03,08,01,02,24,01,23.6,0
SC,03,08,01,02,24,02,24.7,0
SC,03,08,01,02,24,03,25.1,0
SC,03,08,01,02,24,04,26.1,0
SC,03,08,01,02,24,05,26.3,0
SC,03,08,01,03,30,01,32.8,0
SC,03,08,01,03,30,02,32.1,0
SC,03,08,01,03,30,03,32,0
SC,03,08,01,03,30,04,32.3,0
SC,03,08,01,03,30,05,32.2,0
SC,03,08,01,04,36,01,41.5,0
SC,03,08,01,04,36,02,40.5,0
SC,03,08,01,04,36,03,40.8,0
SC,03,08,01,04,36,04,41,0
SC,03,08,01,04,36,05,40.9,0
SC,03,08,01,05,42,01,48,0
SC,03,08,01,05,42,02,46.9,0
SC,03,08,01,05,42,03,47.2,0
SC,03,08,01,05,42,04,47.2,0
SC,03,08,01,05,42,05,47.2,0
SC,03,08,01,06,48,01,55,1
SC,03,08,01,06,48,02,56.1,1
SC,03,08,01,06,48,03,57.2,1
SC,03,08,01,06,48,04,55.2,1
SC,03,08,01,06,48,05,55.8,1
SC,03,08,01,07,54,01,59.5,1
SC,03,08,01,07,54,02,62,1
SC,03,08,01,07,54,03,60.4,1
SC,03,08,01,07,54,04,60.5,1
SC,03,08,01,07,54,05,62.9,1
L2R,03,10,00,01,18,01,17.8,-1
L2R,03,10,00,01,18,02,17.9,-1
L2R,03,10,00,01,18,03,18.1,-1
L2R,03,10,00,01,18,04,18.6,-1
L2R,03,10,00,01,18,05,18.9,-1
L2R,03,10,00,02,24,01,26.5,0
L2R,03,10,00,02,24,02,27.1,0
L2R,03,10,00,02,24,03,27.3,0
L2R,03,10,00,02,24,04,27.7,0
L2R,03,10,00,02,24,05,27.5,0
L2R,03,10,00,03,30,01,33,0
L2R,03,10,00,03,30,02,33.5,0
L2R,03,10,00,03,30,03,33.3,0
L2R,03,10,00,03,30,04,33.7,0
L2R,03,10,00,03,30,05,33.5,0
L2R,03,10,00,04,36,01,41.3,0
