pallet,layer_height,extrusion,run,speed,replicate,layer_width,over-under
SC,8,3,6,140,3,41.4,0
SC,8,3,6,140,4,41.9,0
SC,8,3,6,140,5,42,0
SC,8,3,7,160,1,37.1,0
SC,8,3,7,160,2,35.5,0
SC,8,3,7,160,3,37.1,0
SC,8,3,7,160,4,36.6,0
SC,8,3,7,160,5,36.7,0
SC,8,3,8,180,1,33.3,0
SC,8,3,8,180,2,33.1,0
SC,8,3,8,180,3,33.4,0
SC,8,3,8,180,4,33.1,0
SC,8,3,8,180,5,33.7,0
SC,8,3,9,200,1,29.6,0
SC,8,3,9,200,2,29.4,0
SC,8,3,9,200,3,29.8,0
SC,8,3,9,200,4,31.3,0
SC,8,3,9,200,5,30,0
SC,8,3,10,220,1,28.8,0
SC,8,3,10,220,2,28.3,0
SC,8,3,10,220,3,28.2,0
SC,8,3,10,220,4,28.1,0
SC,8,3,10,220,5,28.5,0
SC,8,3,11,240,1,25.6,0
SC,8,3,11,240,2,25.3,0
SC,8,3,11,240,3,24.5,0
SC,8,3,11,240,4,25.4,0
SC,8,3,11,240,5,25.9,0
SC,8,3,12,260,1,24.4,0
SC,8,3,12,260,2,24.2,0
SC,8,3,12,260,3,23.9,0
SC,8,3,12,260,4,24.2,0
SC,8,3,12,260,5,24.3,0
SC,8,3,13,280,1,21.8,0
SC,8,3,13,280,2,22.3,0
SC,8,3,13,280,3,22.3,0
SC,8,3,13,280,4,22.9,0
SC,8,3,13,280,5,22.8,0
SC,8,3,14,300,1,21.7,0
SC,8,3,14,300,2,21.9,0
SC,8,3,14,300,3,21.6,0
SC,8,3,14,300,4,21.9,0
SC,8,3,14,300,5,21.9,0
SC,8,3,15,320,1,19.6,0
SC,8,3,15,320,2,20,0
SC,8,3,15,320,3,20.4,0
SC,8,3,15,320,4,20.1,0
SC,8,3,15,320,5,20.3,0
SC,8,3,16,340,1,19.5,-1
SC,8,3,16,340,2,19.5,-1
SC,8,3,16,340,3,19.7,-1
SC,8,3,16,340,4,19.8,-1
SC,8,3,16,340,5,20.3,-1
SC,8,3,17,360,1,18.7,-1
SC,8,3,17,360,2,18.9,-1
SC,8,3,17,360,3,18.5,-1
SC,8,3,17,360,4,17.8,-1
SC,8,3,17,360,5,18.4,-1
SC,8,3,18,380,1,18.2,-1
SC,8,3,18,380,2,18,-1
SC,8,3,18,380,3,17.9,-1
SC,8,3,18,380,4,18.6,-1
SC,8,3,18,380,5,18.1,-1
SC,8,3,19,400,1,17.5,-1
SC,8,3,19,400,2,17.8,-1
SC,8,3,19,400,3,16.8,-1
SC,8,3,19,400,4,17.1,-1
SC,8,3,19,400,5,17.2,-1
L1R,10,3,1,40,1,-1,1
L1R,10,3,1,40,2,-1,1
L1R,10,3,1,40,3,-1,1
L1R,10,3,1,40,4,-1,1
L1R,10,3,1,40,5,-1,1
L1R,10,3,2,60,1,-1,1
L1R,10,3,2,60,2,-1,1
L1R,10,3,2,60,3,-1,1
L1R,10,3,2,60,4,-1,1
L1R,10,3,2,60,5,-1,1
L1R,10,3,3,80,1,55.7,0
L1R,10,3,3,80,2,53.9,0
L1R,10,3,3,80,3,55,0
L1R,10,3,3,80,4,54.8,0
L1R,10,3,3,80,5,54.4,0
L1R,10,3,4,100,1,44.3,0
L1R,10,3,4,100,2,45.6,0
L1R,10,3,4,100,3,44.5,0
L1R,10,3,4,100,4,44.9,0
L1R,10,3,4,100,5,44,0
L1R,10,3,5,120,1,38,0
L1R,10,3,5,120,2,38.3,0
L1R,10,3,5,120,3,38.8,0
L1R,10,3,5,120,4,38.3,0
L1R,10,3,5,120,5,38.4,0
L1R,10,3,6,140,1,32.8,0
L1R,10,3,6,140,2,33,0
L1R,10,3,6,140,3,32.5,0
L1R,10,3,6,140,4,32.7,0
L1R,10,3,6,140,5,32.9,0
L1R,10,3,7,160,1,28.9,0
L1R,10,3,7,160,2,29.2,0
L1R,10,3,7,160,3,28.7,0
L1R,10,3,7,160,4,29.4,0
L1R,10,3,7,160,5,28.8,0
L1R,10,3,8,180,1,25.8,0
L1R,10,3,8,180,2,26.1,0
L1R,10,3,8,180,3,25.7,0
L1R,10,3,8,180,4,25.9,0
L1R,10,3,8,180,5,26.4,0
L1R,10,3,9,200,1,24,0
L1R,10,3,9,200,2,24.1,0
